Offer SKU;Product SKU;Category code;Category label;Brand;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;Lead time to ship;EAN;Inactivity reason;Fulfillment center code
0004892908;M5056798422314;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Montaro' Real Leather Biker Jacket;New;209.00;209.00;3;;INIT;yes;;;;;;;5056798422314;;DEFAULT
0004828001;M5056798423854;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Casey' Real Leather Biker Jacket;New;199.00;199.00;2;;INIT;yes;;;;;;;5056798423854;;DEFAULT
0004828009;M5056798423939;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Casey' Real Leather Biker Jacket;New;259.00;259.00;2;;INIT;yes;;;;;;;5056798423939;;DEFAULT
0005382109;M5056798439206;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Oversized Sheepskin Aviator Jacket;New;909.00;909.00;0;;INIT;no;;;;;;;5056798439206;Out of stock;DEFAULT
0003705802;M5056798423663;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Casey' Real Leather Biker Jacket;New;199.00;199.00;2;;INIT;yes;;;;;;;5056798423663;;DEFAULT
0004894403;M5056798422161;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Montaro' Real Leather Biker Jacket;New;189.00;189.00;2;;INIT;yes;;;;;;;5056798422161;;DEFAULT
0004894410;M5056798422239;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Montaro' Real Leather Biker Jacket;New;249.00;249.00;2;;INIT;yes;;;;;;;5056798422239;;DEFAULT
0005346300;M5056798403177;accessories-luggage;Luggage;Ashwood Leather;Real Leather Business Trolley Bag;New;285.00;285.00;0;;INIT;no;;;;;;;5056798403177;Out of stock;DEFAULT
0000777304;M5056798416696;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Sophia' Long Length Sheepskin Coat;New;1395.00;1395.00;0;;INIT;no;;;;;;;5056798416696;Out of stock;DEFAULT
0000773704;M5056798416535;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Sophia' Long Length Sheepskin Coat;New;1395.00;1395.00;1;;INIT;yes;;;;;;;5056798416535;;DEFAULT
0000773705;M5056798416542;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Sophia' Long Length Sheepskin Coat;New;1395.00;1395.00;1;;INIT;yes;;;;;;;5056798416542;;DEFAULT
0000075200;M5060474524087;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Ashwood Leather;'Luigi' Small Real Leather Flight Side Bag;New;70.00;70.00;3;;INIT;yes;;;;;;;5060474524087;;DEFAULT
0005821700;M5056798441063;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;GABICCI;Real Leather Messenger Bag with Striped Front Detail;New;180.00;180.00;6;;INIT;yes;;;;;;;5056798441063;;DEFAULT
0005343700;M5056798402910;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Ashwood Leather;Real Leather Laptop Sleeve Bag;New;109.00;109.00;1;;INIT;yes;;;;;;;5056798402910;;DEFAULT
0005343500;M5056798402927;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Ashwood Leather;Real Leather Laptop Sleeve Bag;New;109.00;109.00;4;;INIT;yes;;;;;;;5056798402927;;DEFAULT
0005821200;M5056798435970;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;GABICCI;Real Leather Messenger Bag with Striped Front Detail;New;95.00;95.00;3;;INIT;yes;;;;;;;5056798435970;;DEFAULT
0005426802;M5056798445450;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Casual Leather Jacket with Classic Collar;New;249.00;249.00;0;;INIT;no;;;;;;;5056798445450;Out of stock;DEFAULT
0005495301;M5056798452588;women-footwear-womens_flats;Womens Flats;Fenland England;'Pippa' Classic Suede Sheepskin Slippers;New;79.99;79.99;3;;INIT;yes;;;;;;;5056798452588;;DEFAULT
0005344800;M5056798403023;accessories-luggage;Luggage;Ashwood Leather;Real Leather Rucksack;New;189.00;189.00;3;;INIT;yes;;;;;;;5056798403023;;DEFAULT
0005923603;M5056798463942;women-footwear-womens_flats;Womens Flats;Fenland England;'Pippa' Classic Suede Sheepskin Slippers;New;79.99;79.99;10;;INIT;yes;;;;;;;5056798463942;;DEFAULT
0005125002;M5056798407854;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Mia' Leather Longline Biker Jacket;New;199.00;199.00;1;;INIT;yes;;;;;;;5056798407854;;DEFAULT
0005125006;M5056798407892;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Mia' Leather Longline Biker Jacket;New;199.00;199.00;0;;INIT;no;;;;;;;5056798407892;Out of stock;DEFAULT
0005472700;M5056798443289;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Compact Handbag With Detachable Crossbody Strap;New;100.00;100.00;4;;INIT;yes;;;;;;;5056798443289;;DEFAULT
0005473700;M5056798443388;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Elegant Leather Handbag With Detachable Crossbody Strap;New;110.00;110.00;3;;INIT;yes;;;;;;;5056798443388;;DEFAULT
0002187305;M5056798416863;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Kimi' Toscana Suede Leather Biker Gilet;New;499.00;499.00;2;;INIT;yes;;;;;;;5056798416863;;DEFAULT
0005474700;M5056798443487;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Premium Leather Shoulder Bag with Detachable Crossbody Strap;New;150.00;150.00;3;;INIT;yes;;;;;;;5056798443487;;DEFAULT
0004035200;M5061042996053;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Vintage Woven Leather Zip Around Small 6 Card Coin Purse;New;29.99;29.99;8;;INIT;yes;;;;;;;5061042996053;;DEFAULT
0005478600;M5056798443852;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Stylish Real Leather Medium Satchel Bag;New;110.00;110.00;1;;INIT;yes;;;;;;;5056798443852;;DEFAULT
0003268900;M5056798425544;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Real Leather Large Studded Clutch Bag;New;59.99;59.99;0;;INIT;no;;;;;;;5056798425544;Out of stock;DEFAULT
0004416500;M5061042995421;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Perfezione' Three Section Vintage Woven Leather Shoulder Bag;New;79.99;79.99;3;;INIT;yes;;;;;;;5061042995421;;DEFAULT
0005478700;M5056798443883;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Stylish Real Leather Medium Satchel Bag;New;110.00;110.00;3;;INIT;yes;;;;;;;5056798443883;;DEFAULT
0005818400;M5056798455015;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Small Real Leather Crossbody Bag;New;70.00;70.00;2;;INIT;yes;;;;;;;5056798455015;;DEFAULT
0005818500;M5056798455008;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Small Real Leather Crossbody Bag;New;70.00;70.00;5;;INIT;yes;;;;;;;5056798455008;;DEFAULT
0005426806;M5056798445498;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Casual Leather Jacket with Classic Collar;New;249.00;249.00;0;;INIT;no;;;;;;;5056798445498;Out of stock;DEFAULT
0004383404;M5061027917837;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Three Quarter Length Toscana Suede Leather Coat;New;875.00;875.00;1;;INIT;yes;;;;;;;5061027917837;;DEFAULT
0005471200;M5056798443135;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Real Leather Compact Crossbody Bag with Adjustable Strap;New;95.00;95.00;3;;INIT;yes;;;;;;;5056798443135;;DEFAULT
0005052100;M5061042993984;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Incanto Cuoio' Crossbody Phone Bag;New;49.99;49.99;4;;INIT;yes;;;;;;;5061042993984;;DEFAULT
0004379804;M5061027917653;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Three Quarter Length Toscana Suede Leather Coat;New;875.00;875.00;1;;INIT;yes;;;;;;;5061027917653;;DEFAULT
0003758803;M5056798416122;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Alaska' Long Length Toscana Suede Leather Coat;New;999.99;999.99;0;;INIT;no;;;;;;;5056798416122;Out of stock;DEFAULT
0004379803;M5061027917646;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Three Quarter Length Toscana Suede Leather Coat;New;875.00;875.00;1;;INIT;yes;;;;;;;5061027917646;;DEFAULT
0004383401;M5056798418669;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Three Quarter Length Toscana Suede Leather Coat;New;875.00;875.00;0;;INIT;no;;;;;;;5056798418669;Out of stock;DEFAULT
